591510005	93	1	510A009	01	0	2	83                          	3                           	碩士論文(二)	
591510005	93	1	510A567	01	0	2		3                           	國際金融市場	
591510006	93	1	510A008	01	0	2	90                          	3                           	碩士論文（一）	
591510006	93	1	510A567	01	0	2		3                           	國際金融市場	
591510007	93	1	510A009	01	0	2	85                          	3                           	碩士論文(二)	
591510008	93	1	510A009	01	0	2	88                          	3                           	碩士論文(二)	
591510009	93	1	510A009	01	0	2	87                          	3                           	碩士論文(二)	
591510010	93	1	510A009	01	0	2	81                          	3                           	碩士論文(二)	
591510010	93	1	510A567	01	0	2		3                           	國際金融市場	
591510012	93	1	510A009	01	0	2	82                          	3                           	碩士論文(二)	
591510012	93	1	510A565	01	0	2	75                          	3                           	生產經濟學	
591510013	93	1	510A009	01	0	2	81                          	3                           	碩士論文(二)	
591510015	93	1	510A009	01	0	2	93                          	3                           	碩士論文(二)	
591510019	93	1	510A009	01	0	2	93                          	3                           	碩士論文(二)	
591510020	93	1	510A009	01	0	2	80                          	3                           	碩士論文(二)	
591510020	93	1	510A567	01	0	2		3                           	國際金融市場	
591510023	93	1	510A008	01	0	2	90                          	3                           	碩士論文（一）	
591510023	93	1	510A520	01	0	2	90                          	3                           	論文導讀(一)	
591510023	93	1	510A565	01	0	2	78                          	3                           	生產經濟學	
591510024	93	1	510A009	01	0	2	93                          	3                           	碩士論文(二)	
591510025	93	1	510A009	01	0	2	93                          	3                           	碩士論文(二)	
591510026	93	1	510A009	01	0	2	88                          	3                           	碩士論文(二)	
591515004	93	1	515A020	01	0	1	93                          	3                           	論文(一)	
591515004	93	1	515A026	01	0	2	78                          	3                           	財務計量與實證	
591515005	93	1	515A020	01	0	1	90                          	3                           	論文(一)	
591515005	93	1	515A029	01	0	1	70                          	3                           	計量經濟學(一)	
591515006	93	1	515A026	01	0	2	76                          	3                           	財務計量與實證	
591515006	93	1	515A029	01	0	1	48                          	3                           	計量經濟學(一)	
591515008	93	1	515A020	01	0	1	90                          	3                           	論文(一)	
591515014	93	1	515A008	01	0	2	70                          	3                           	多變量分析與應用	
591515014	93	1	515A020	01	0	1	93                          	3                           	論文(一)	
591515015	93	1	515A007	01	0	2	80                          	3                           	期貨市場	
591515015	93	1	515A020	01	0	1	93                          	3                           	論文(一)	
591515015	93	1	515A026	01	0	2	75                          	3                           	財務計量與實證	
591515018	93	1	515A007	01	0	2	84                          	3                           	期貨市場	
591515019	93	1	515A001	01	0	1	70                          	3                           	財務管理	
591515019	93	1	515A020	01	0	1	85                          	3                           	論文(一)	
591515019	93	1	515A029	01	0	1	70                          	3                           	計量經濟學(一)	
591515020	93	1	515A030	01	0	2	93                          	3                           	投資組合分析	
591515022	93	1	515A026	01	0	2	89                          	3                           	財務計量與實證	
591515023	93	1	515A008	01	0	2	78                          	3                           	多變量分析與應用	
591515023	93	1	515A020	01	0	1	85                          	3                           	論文(一)	
591515024	93	1	515A020	01	0	1	90                          	3                           	論文(一)	
591515027	93	1	515A020	01	0	1	90                          	3                           	論文(一)	
591515027	93	1	515A029	01	0	1	54                          	3                           	計量經濟學(一)	
591515030	93	1	515A008	01	0	2	77                          	3                           	多變量分析與應用	
591515030	93	1	515A020	01	0	1	90                          	3                           	論文(一)	
591520010	93	1	520A010	01	0	1	90                          	2                           	管理專題研究(二)	
591525001	93	1	525A009	01	0	1	90                          	3                           	碩士論文(I)	
591525004	93	1	525A009	01	0	1	92                          	3                           	碩士論文(I)	
591525007	93	1	525A009	01	0	1	88                          	3                           	碩士論文(I)	
591525010	93	1	525A009	01	0	1	88                          	3                           	碩士論文(I)	
591525010	93	1	525A017	01	0	2		3                           	資料庫系統與管理	
591525012	93	1	525A009	01	0	1	88                          	3                           	碩士論文(I)	
591525013	93	1	525A009	01	0	1	92                          	3                           	碩士論文(I)	
591525014	93	1	525A009	01	0	1	88                          	3                           	碩士論文(I)	
591525016	93	1	525A009	01	0	1	90                          	3                           	碩士論文(I)	
591525021	93	1	525A009	01	0	1	90                          	3                           	碩士論文(I)	
591525022	93	1	525A009	01	0	1	85                          	3                           	碩士論文(I)	
591525030	93	1	525A009	01	0	1	90                          	3                           	碩士論文(I)	
591530002	93	1	530A308	01	0	1	90                          	3                           	資管碩士論文(二)	
591530005	93	1	530A308	01	0	1	92                          	3                           	資管碩士論文(二)	
591530007	93	1	530A308	01	0	1	90                          	3                           	資管碩士論文(二)	
591530008	93	1	530A307	01	0	1		3                           	資管碩士論文(一)	
591530008	93	1	530A308	01	0	1		3                           	資管碩士論文(二)	
591530009	93	1	530A308	01	0	1		3                           	資管碩士論文(二)	
591530010	93	1	530A308	01	0	1		3                           	資管碩士論文(二)	
591530014	93	1	530A307	01	0	1	90                          	3                           	資管碩士論文(一)	
591530017	93	1	530A308	01	0	1		3                           	資管碩士論文(二)	
591530020	93	1	530A307	01	0	1	90                          	3                           	資管碩士論文(一)	
591530020	93	1	530A308	01	0	1	90                          	3                           	資管碩士論文(二)	
591530021	93	1	530A112	02	0	1	98                          	3                           	資料庫管理與實務	
591530021	93	1	530A113	01	0	1		3                           	管理資訊系統理論與實務	
591530022	93	1	530A308	01	0	1		3                           	資管碩士論文(二)	
591530023	93	1	530A308	01	0	1	90                          	3                           	資管碩士論文(二)	
591530026	93	1	530A308	01	0	1	80                          	3                           	資管碩士論文(二)	
591530028	93	1	530A308	01	0	1	85                          	3                           	資管碩士論文(二)	
591530030	93	1	530A307	01	0	1		3                           	資管碩士論文(一)	
591530031	93	1	530A308	01	0	1	88                          	3                           	資管碩士論文(二)	
591605009	93	1	605A100	01	0	1		6                           	畢業論文	
591605011	93	1	605A100	01	0	1		6                           	畢業論文	
591605014	93	1	605A100	01	0	1		6                           	畢業論文	
591605017	93	1	605A100	01	0	1		6                           	畢業論文	
591605019	93	1	605A100	01	0	1		6                           	畢業論文	
591605024	93	1	605A100	01	0	1		6                           	畢業論文	
591605028	93	1	605A100	01	0	1		6                           	畢業論文	
591710032	93	1	340A019	01	0	2		2                           	社區教育研究	
591710032	93	1	340A028	01	0	2	87                          	2                           	成人教育哲學研究	
591710032	93	1	340A043	01	0	2	87                          	2                           	成人教育方案規劃與行銷研究	
591725004	93	1	345A007	01	0	1	85                          	3                           	犯罪學專題研究（二）	
591725005	93	1	345A003	01	0	1	83                          	3                           	諮商心理學研究	
591725005	93	1	345A009	01	0	2	83                          	3                           	青少年輔導專題研究	
